index,name,group,HR,WAR,G,OPS,H,OPS+,RAR,Rbat,Rbat+
5,Albert Pujols,1,37,6.6,161,1.013,194,157.0,69.0,51.0,163.0
6,Eddie Murray,1,27,3.2,160,0.803,173,123.0,32.0,18.0,124.0
15,Paul Molitor,1,6,2.7,125,0.673,142,89.0,27.0,-6.0,90.0
28,Frank Robinson,1,38,6.5,152,0.936,166,143.0,66.0,39.0,154.0
31,Ichiro Suzuki,1,8,7.7,157,0.838,242,126.0,79.0,30.0,134.0
35,Barry Bonds,1,7,3.5,44,0.963,46,0.0,34.0,3.0,106.0
36,Ken Griffey Jr.,1,16,3.3,127,0.748,120,108.0,32.0,6.0,111.0
45,Jake Beckley,1,0,2.7,71,0.78,97,157.0,26.0,17.0,150.0
46,Paul Waner,1,8,5.4,144,0.941,180,148.0,53.0,37.0,152.0
52,Ozzie Smith,1,1,3.3,159,0.623,152,82.0,32.0,-9.0,87.0
56,Rod Carew,1,1,2.8,14,0.732,18,0.0,28.0,8.0,115.0
63,Wade Boggs,1,5,3.9,104,0.847,118,128.0,39.0,12.0,128.0
70,Roberto Alomar,1,2,4.4,9,0.742,10,0.0,41.0,5.0,108.0
73,Bill Dahlen,1,9,3.0,135,0.738,143,111.0,33.0,7.0,107.0
111,Jesse Burkett,1,4,2.2,101,0.827,124,145.0,29.0,20.0,132.0
118,Richie Ashburn,1,2,4.7,117,0.81,154,123.0,46.0,19.0,131.0
121,Nick Markakis,1,16,2.5,147,0.799,143,106.0,25.0,3.0,105.0
125,B.J. Surhoff,1,7,2.5,115,0.773,118,102.0,25.0,2.0,103.0
128,Frank Thomas,1,18,2.3,109,1.068,114,0.0,23.0,20.0,177.0
130,Willie McCovey,1,29,3.1,95,1.219,130,0.0,30.0,23.0,192.0
137,Edgar Rentería,1,2,3.2,35,0.713,37,0.0,35.0,1.0,102.0
159,Orlando Cepeda,1,25,3.0,148,0.854,188,125.0,31.0,19.0,127.0
172,Jeff Bagwell,1,15,4.8,156,0.824,163,139.0,47.0,31.0,146.0
173,Roger Connor,1,3,3.2,83,0.816,113,169.0,31.0,24.0,153.0
175,Lloyd Waner,1,2,2.9,150,0.806,223,109.0,27.0,11.0,114.0
181,Ted Williams,1,31,6.6,149,1.045,185,160.0,72.0,52.0,160.0
183,Herman Long,1,3,2.3,136,0.726,158,102.0,25.0,2.0,102.0
184,Jake Daubert,1,8,2.4,144,0.717,146,112.0,23.0,7.0,111.0
187,Heinie Manush,1,4,2.4,109,0.877,103,132.0,24.0,16.0,138.0
208,José Reyes,1,0,2.3,42,0.69,43,0.0,24.0,1.0,103.0
218,George Scott,1,27,3.4,162,0.757,147,107.0,35.0,9.0,114.0
236,Elvis Andrus,1,6,3.6,145,0.702,128,82.0,36.0,-12.0,80.0
248,Del Ennis,1,17,4.9,141,0.849,169,144.0,46.0,28.0,148.0
250,Kirby Puckett,1,1,3.4,21,0.619,21,0.0,33.0,-16.0,75.0
254,Ellis Burks,1,3,2.9,11,0.915,9,0.0,30.0,0.0,100.0
265,Dave Bancroft,1,7,4.2,153,0.676,143,103.0,37.0,4.0,107.0
270,Carney Lansford,1,8,2.6,121,0.746,133,113.0,26.0,9.0,116.0
277,Wally Joyner,1,22,3.2,154,0.805,172,119.0,32.0,11.0,114.0
279,Billy Hoy,1,2,4.3,136,0.712,138,134.0,42.0,25.0,136.0
284,Evan Longoria,1,0,4.8,7,0.533,5,0.0,48.0,15.0,125.0
294,Bobby Bonds,1,8,2.8,60,1.049,81,0.0,23.0,8.0,126.0
306,Andrew McCutchen,1,4,2.3,49,0.853,61,0.0,24.0,14.0,124.0
315,Mark Teixeira,1,26,2.7,146,0.811,137,102.0,28.0,0.0,101.0
318,Bob Johnson,1,21,4.1,142,0.892,155,135.0,44.0,27.0,135.0
326,Adam Dunn,1,32,2.2,94,1.116,117,0.0,23.0,14.0,140.0
334,Del Pratt,1,5,3.6,152,0.774,172,125.0,34.0,15.0,122.0
336,Joe DiMaggio,1,29,4.8,138,0.928,206,128.0,53.0,23.0,125.0
345,Fielder Jones,1,3,3.0,104,0.87,140,135.0,33.0,26.0,139.0
370,Ryan Braun,1,10,2.0,34,1.119,40,0.0,22.0,37.0,162.0
371,Arky Vaughan,1,4,3.9,129,0.787,158,114.0,38.0,12.0,119.0
376,George Burns,1,5,3.3,137,0.74,139,119.0,30.0,11.0,121.0
394,Chuck Klein,1,11,2.2,64,0.973,91,145.0,22.0,16.0,151.0
395,Tommy Tucker,1,6,2.9,136,0.719,144,105.0,32.0,7.0,108.0
396,Travis Fryman,1,10,2.1,87,0.723,84,0.0,21.0,11.0,139.0
398,Ben Chapman,1,10,2.9,138,0.845,162,116.0,29.0,13.0,117.0
399,Rafael Furcal,1,1,4.0,3,0.773,2,0.0,44.0,5.0,108.0
402,Johnny Mize,1,19,4.6,126,0.979,136,162.0,45.0,31.0,159.0
404,Joe Tinker,1,2,3.6,133,0.633,132,99.0,33.0,-2.0,97.0
408,Hunter Pence,1,3,3.4,25,0.945,31,0.0,36.0,20.0,135.0
416,Chuck Knoblauch,1,1,2.9,151,0.701,159,91.0,29.0,-5.0,92.0
420,Earl Averill,1,18,4.4,152,0.936,198,136.0,44.0,32.0,138.0
430,Tony Lazzeri,1,18,2.9,155,0.8,162,108.0,28.0,2.0,103.0
438,Carlos Santana,1,13,2.0,57,1.044,62,0.0,19.0,9.0,144.0
460,Harry Stovey,1,6,2.2,83,0.742,94,140.0,22.0,12.0,125.0
493,Jim Sundberg,1,3,4.0,132,0.678,91,99.0,37.0,8.0,119.0
495,Sam Thompson,1,7,2.4,63,0.844,77,171.0,24.0,19.0,154.0
496,David Wright,1,18,2.2,91,1.046,115,0.0,22.0,6.0,119.0
502,Bill White,1,3,3.1,20,0.936,21,0.0,33.0,7.0,111.0
512,Hughie Critz,1,3,3.0,102,0.8,133,114.0,30.0,7.0,114.0
515,Mike Griffin,1,3,2.8,136,0.801,160,128.0,30.0,25.0,125.0
521,Lu Blue,1,5,2.9,153,0.843,180,116.0,28.0,20.0,123.0
534,Willie Kamm,1,6,4.6,149,0.796,159,111.0,46.0,6.0,109.0
542,Phil Rizzuto,1,3,4.6,133,0.741,158,96.0,47.0,-2.0,96.0
550,Dots Miller,1,3,4.6,151,0.725,156,121.0,41.0,12.0,121.0
575,Joe Gordon,1,25,3.4,127,0.843,117,109.0,37.0,0.0,100.0
577,Steve Brodie,1,0,2.8,132,0.755,152,112.0,31.0,13.0,116.0
587,Ginger Beaumont,1,3,3.4,111,0.86,154,136.0,36.0,23.0,135.0
588,Hardy Richardson,1,0,2.5,79,0.711,95,128.0,26.0,9.0,119.0
605,Babe Herman,1,11,2.9,137,0.875,158,136.0,29.0,23.0,136.0
606,Elmer Flick,1,8,4.9,134,0.878,137,156.0,51.0,39.0,153.0
614,Mike Hargrove,1,4,3.3,131,0.819,134,140.0,31.0,20.0,141.0
617,Miller Huggins,1,2,3.1,140,0.705,129,110.0,29.0,9.0,115.0
622,Bill Skowron,1,7,2.0,87,0.969,73,167.0,19.0,17.0,167.0
634,Jason Heyward,1,18,6.4,142,0.849,144,131.0,64.0,32.0,146.0
647,Jimmy Williams,1,9,6.9,153,0.946,220,158.0,75.0,48.0,151.0
651,Bob Meusel,1,11,3.2,119,0.876,151,127.0,32.0,13.0,123.0
667,Darryl Strawberry,1,3,2.6,16,1.061,19,0.0,26.0,15.0,131.0
693,Duffy Lewis,1,8,3.5,151,0.734,153,127.0,32.0,14.0,126.0
700,Denard Span,1,3,4.3,40,0.915,53,0.0,43.0,13.0,128.0
704,Yunel Escobar,1,2,2.4,46,0.835,60,0.0,26.0,12.0,129.0
706,Wally Schang,1,3,2.8,79,0.807,55,138.0,26.0,10.0,140.0
710,Roy Thomas,1,0,5.0,150,0.819,178,128.0,52.0,36.0,138.0
713,Buck Herzog,1,0,2.3,64,0.811,48,153.0,20.0,12.0,166.0
718,Jeff Francoeur,1,13,3.0,84,0.808,92,0.0,30.0,7.0,124.0
728,Nolan Arenado,1,3,2.5,18,1.059,24,0.0,25.0,-11.0,79.0
740,Giancarlo Stanton,1,21,2.8,53,1.171,60,0.0,28.0,8.0,117.0
755,Wally Berger,1,38,4.0,151,0.99,172,137.0,44.0,28.0,132.0
764,Rick Burleson,1,1,2.7,10,0.869,14,0.0,25.0,-4.0,91.0
772,Mark Ellis,1,0,2.7,21,0.813,25,0.0,28.0,3.0,105.0
792,Chick Stahl,1,4,3.0,114,0.905,166,133.0,32.0,23.0,131.0
804,David Eckstein,1,4,4.3,153,0.712,166,89.0,44.0,1.0,101.0
816,Ted Sizemore,1,4,4.2,159,0.67,160,94.0,38.0,3.0,104.0
822,Jackie Robinson,1,4,2.1,34,1.049,45,208.0,23.0,17.0,194.0
825,Tommy Holmes,1,4,3.3,141,0.71,155,111.0,31.0,10.0,116.0
836,Earl Torgeson,1,16,3.6,128,0.885,112,136.0,36.0,18.0,134.0
850,Tom Burns,1,0,2.6,85,0.712,103,135.0,25.0,12.0,127.0
852,José Abreu,1,36,5.8,145,0.964,176,173.0,54.0,53.0,182.0
867,Bryce Harper,1,1,5.2,21,0.69,18,0.0,50.0,15.0,122.0
880,Wally Moon,1,12,3.0,151,0.806,193,110.0,32.0,11.0,114.0
889,Pete Browning,1,5,4.5,69,0.94,109,223.0,48.0,39.0,189.0
898,Andre Ethier,1,1,2.4,25,0.947,30,0.0,26.0,9.0,117.0
917,Dan Uggla,1,27,3.1,154,0.818,172,112.0,33.0,9.0,111.0
921,Johnny Pesky,1,2,6.2,147,0.791,205,119.0,59.0,16.0,122.0
955,Gil McDougald,1,14,4.5,131,0.884,123,142.0,46.0,24.0,145.0
962,Chico Carrasquel,1,4,2.7,141,0.733,148,90.0,28.0,-4.0,95.0
978,Robby Thompson,1,7,3.4,149,0.698,149,97.0,33.0,5.0,109.0
983,Tommy Henrich,1,0,2.0,7,0.0,0,0.0,21.0,14.0,144.0
984,Lyn Lary,1,5,2.2,80,0.808,73,113.0,22.0,6.0,119.0
995,Mike Napoli,1,3,2.6,21,0.78,19,0.0,26.0,5.0,114.0